MOUSETRAP SCRIPT TRAINER - 003-03A A02S01 FIRST HALF COMPACT CHUNK DATA
Data part: 3/3
Scene: SCN-A02-S01
Coverage: first half / units 0002-0320
Records: 196
First: 0209.01
Last: 0320.01
SCHEMA: UNITSEQ.SENTNN[!]|chunkNN@charStart-charEnd:ROLE:GRAMMAR;...
!: content-reviewed high-risk sentence; absence means automated + structural QA passed.
Chunk ID derivation: CHK-SEN-U-A02-S01-{UNITSEQ}-{SENTNN}-{chunkNN}

0244.04|01@0-4:S:NP;02@4-9:V:VP;03@9-52:O:NC;04@52-57:V:VP;05@57-68:O:NP
0244.05|01@0-4:S:NP;02@4-7:V:VP;03@7-12:C:NP;04@12-23:V:PhrasalVerb;05@23-35:O:NP
0244.06!|01@0-7:V:VP;02@7-17:C:AdvP;03@17-42:M:PP;04@42-55:S':NP;05@55-84:V':VP;06@84-126:C':NC;07@126-153:C':NC;08@153-169:M:Participle
0244.07|01@0-8:M:AdvP;02@8-12:S:NP;03@12-24:V:VP;04@24-34:O:NP;05@34-65:O:NP
0245.01|01@0-2:S:NP;02@2-7:V:VP;03@7-36:C:Inf
0246.01|01@0-4:M:AdvP;02@4-7:S:NP;03@7-14:V:VP;04@14-19:O:NP;05@19-27:V:VP
0246.02!|01@0-2:S:NP;02@2-10:V:VP;03@10-27:M:PP;04@27-58:S':NC;05@58-64:S':NP;06@64-77:V':VP;07@77-89:O':NP
0247.01|01@0-1:S:NP;02@1-5:V:VP;03@5-14:C:NP;04@14-19:V:VP;05@19-30:O:NP
0248.01|01@0-4:M:AdvP;02@4-8:S:NP;03@8-14:V:VP
0249.01|01@0-6:S:NP
0250.01|01@0-13:S:NP;02@13-20:V:VP;03@20-40:O:NP;04@40-51:M:PP
0250.02|01@0-4:S:NP;02@4-13:V:PhrasalVerb;03@13-28:M:PP;04@28-42:V:PhrasalVerb;05@42-55:M:PP
0251.01|01@0-12:S:NP;02@12-17:V:VP;03@17-24:O:NP
0252.01|01@0-4:S:NP;02@4-14:V:PhrasalVerb;03@14-28:M:PP;04@28-33:O:NP
0252.02|01@0-3:S:NP;02@3-6:V:VP;03@6-10:C:NP;04@10-16:V:VP;05@16-38:C:Inf
0253.01|01@0-10:V:VP;02@10-19:O:NP;03@19-31:V:PhrasalVerb;04@31-34:O:NP
0254.01!|01@0-22:S:NC;02@22-32:M:AdvP
0254.02|01@0-5:S:NP;02@5-8:V:VP;03@8-23:C:NP;04@23-39:M:PP;05@39-46:O:NP;06@46-52:V:VP;07@52-75:M:PP
0255.01|01@0-1:S:NP;02@1-4:V:VP;03@4-8:C:NP;04@8-21:O:NP;05@21-37:C:Inf
0256.01|01@0-2:S:NP;02@2-12:V:VP;03@12-21:O:NP;04@21-26:V:VP
0257.01!|01@0-10:C:AdjP;02@10-14:V:VP;03@14-20:S:NP;04@20-26:V':VP;05@26-30:S':NP;06@30-43:V':VP;07@43-55:C':Inf
0258.01|01@0-2:S:NP;02@2-7:V:VP;03@7-11:O:NP;04@11-12:S:NP;05@12-30:V:VP;06@30-47:O:NP
0259.01|01@0-6:V:VP;02@6-9:O:NP;03@9-10:S:NP;04@10-23:V:VP;05@23-47:C:Inf;06@47-56:M:PP
0260.01!|01@0-17:O:NP
0261.01|01@0-7:M:AdvP;02@7-11:V:VP;03@11-17:O:NP
0262.01|01@0-1:S:NP;02@1-4:V:VP;03@4-8:C:NP;04@8-14:V:VP
0263.01|01@0-7:M:AdvP;02@7-11:V:VP;03@11-23:O:NP
0263.02|01@0-7:M:AdvP
0263.03|01@0-2:S:NP;02@2-7:V:VP;03@7-12:O:NP
0264.01|01@0-2:S:NP;02@2-12:V:VP;03@12-21:O:NP
0265.01|01@0-5:O:NP;02@5-8:V:VP;03@8-12:C:NP;04@12-17:O:NP
0265.02|01@0-8:S:NP;02@8-12:C:NP;03@12-20:V:VP;04@20-26:O:NP
0265.03|01@0-10:S:NP;02@10-19:V:VP;03@19-36:C:Inf;04@36-39:M:PP;05@39-54:M:PP;06@54-78:M:PP
0266.01|01@0-3:S:NP;02@3-9:V:VP
0267.01|01@0-19:V:FixedExpression;02@19-27:V:FixedExpression;03@27-31:O:NP;04@31-38:C:Inf;05@38-49:O:NC
0268.01|01@0-3:S:NP;02@3-9:V:VP
0268.02|01@0-2:S:NP;02@2-5:V:VP;03@5-18:C:NP
0268.03|01@0-2:S:NP;02@2-7:V:VP;03@7-12:O:NP;04@12-19:O:NP;05@19-22:O:NP;06@22-28:V:VP;07@28-38:O:NP
0268.04|01@0-1:S:NP;02@1-4:V:VP;03@4-15:C:NP;04@15-19:V:VP;05@19-29:O:NP
0268.05|01@0-12:M:AdvP;02@12-14:S:NP;03@14-29:V:PhrasalVerb;04@29-36:O:NP
0269.01|01@0-4:S:NP;02@4-7:V:VP;03@7-12:C:NP;04@12-23:O:NP;05@23-28:V:VP
0270.01|01@0-4:M:AdvP;02@4-12:S:NP;03@12-18:V:VP
0271.01|01@0-5:V:VP;02@5-11:O:NP;03@11-16:O:NP;04@16-19:V:VP;05@19-25:O:NP;06@25-37:M:PP;07@37-59:O:NC
0272.01|01@0-5:O:NP;02@5-8:V:VP;03@8-12:C:NP;04@12-17:V:VP;05@17-31:M:PP
0272.02|01@0-1:S:NP;02@1-4:V:VP;03@4-10:C:NP;04@10-20:M:PP;05@20-24:S:NP;06@24-27:V:VP;07@27-31:O:NP
0273.01|01@0-8:M:AdvP;02@8-11:S:NP;03@11-14:V:VP;04@14-22:C:NP;05@22-29:M:AdvC
0273.02!|01@0-8:M:AdvP;02@8-12:S:NP;03@12-22:V:VP;04@22-29:M:PP;05@29-42:C:Inf;06@42-70:O:NC;07@70-78:C':Inf;08@78-97:M:PP
0273.03!|01@0-4:S:NP;02@4-14:V:PhrasalVerb;03@14-27:M:PP;04@27-31:V:VP;05@31-34:S':NP
0274.01|01@0-7:S:NP;02@7-12:V:VP;03@12-16:O:NP;04@16-25:V:PhrasalVerb;05@25-38:M:PP
0274.02|01@0-21:M:AdvP;02@21-34:S:NP
0275.01!|01@0-12:C:AdjP;02@12-22:M:AdvP;03@22-51:S:NC;04@51-78:M:PP;05@78-88:M:PP
0276.01|01@0-3:M:AdvP;02@3-14:S:NP;03@14-60:O:NC;04@60-66:C:NP;05@66-73:V:VP
0277.01|01@0-2:S:NP;02@2-7:V:VP;03@7-50:M:AdvC;04@50-55:V:VP;05@55-60:O:NP;06@60-77:C:Inf
0277.02|01@0-6:V:VP;02@6-29:M:AdvC
0277.03|01@0-6:M:AdvP;02@6-10:V:VP;03@10-14:S:NP;04@14-20:O:NP;05@20-25:V:VP;06@25-29:O:NP
0277.04|01@0-9:M:AdvP;02@9-13:V:VP;03@13-18:S:NP;04@18-32:V:PhrasalVerb
0278.01|01@0-3:S:NP;02@3-7:V:VP;03@7-35:C:NP
0278.02|01@0-17:S:NP;02@17-64:M:PP
0279.01|01@0-4:S:NP;02@4-7:V:VP;03@7-12:C:NP;04@12-16:O:NP;05@16-20:V:VP
0279.02|01@0-8:M:AdvP;02@8-11:S:NP;03@11-15:V:VP;04@15-20:C:NP;05@20-31:V:PhrasalVerb;06@31-41:M:PP;07@41-53:C:Inf;08@53-64:M:PP
0280.01|01@0-4:S:NP;02@4-9:V:VP;03@9-24:O:NP;04@24-61:O:NC;05@61-67:O:NP
0281.01|01@0-4:S:NP;02@4-20:V:PhrasalVerb;03@20-30:M:PP;04@30-40:M:PP
0281.02!|01@0-5:V:VP;02@5-12:S:NP;03@12-15:C:AdvP
0282.01|01@0-14:O:NP;02@14-17:V:VP;03@17-21:C:NP;04@21-26:V:VP
0282.02|01@0-2:S:NP;02@2-5:V:VP;03@5-16:C:NP
0283.01|01@0-3:V:VP;02@3-6:S:NP
0283.02|01@0-5:M:AdvP;02@5-9:O:NP;03@9-12:V:VP;04@12-17:C:NP
0283.03|01@0-5:S:NP;02@5-8:V:VP;03@8-12:O:NP;04@12-53:M:PP
0283.04|01@0-4:S:NP;02@4-12:V:VP;03@12-15:O:NP
0283.05|01@0-2:S:NP;02@2-9:V:VP;03@9-12:O:NP;04@12-49:M:PP;05@49-69:M:PP
0283.06|01@0-4:S:NP;02@4-15:V:VP;03@15-27:O:NP;04@27-47:O:NP
0284.01!|01@0-5:M:AdvP;02@5-12:O:NC
0285.01!|01@0-3:M:AdvP;02@3-6:S:NP;03@6-12:V:VP;04@12-62:C:NC;05@62-66:S':NP;06@66-71:V':VP;07@71-81:M:PP;08@81-89:M:AdvP
0286.01|01@0-11:M:FixedExpression;02@11-13:S:NP;03@13-23:V:VP
0287.01|01@0-9:S:NP;02@9-13:V:VP;03@13-25:O:NP;04@25-32:V:VP;05@32-54:O:NP
0288.01|01@0-11:S:NP;02@11-23:V:VP;03@23-48:O:NP
0289.01|01@0-8:V:FixedExpression;02@8-14:O:NP;03@14-20:V:VP;04@20-23:O:NP
0289.02|01@0-4:S:NP;02@4-9:V:VP;03@9-19:M:PP
0290.01|01@0-10:M:FixedExpression
0290.02|01@0-2:S:NP;02@2-7:V:VP;03@7-17:M:PP
0290.03|01@0-7:V:VP;02@7-11:O:NP
0291.01|01@0-5:O:NP
0292.01|01@0-7:V:VP;02@7-11:O:NP
0292.02|01@0-4:S:NP;02@4-17:V:PhrasalVerb;03@17-34:O:NP
0293.01|01@0-6:M:AdvP;02@6-10:V:VP;03@10-14:S:NP;04@14-23:V:VP;05@23-31:M:PP
0294.01|01@0-3:S:NP;02@3-10:V:PhrasalVerb;03@10-31:O:NP
0295.01|01@0-7:S:NP;02@7-22:V:VP;03@22-25:O:NP;04@25-34:M:PP
0296.01|01@0-4:V:VP;02@4-9:S:NP
0296.02|01@0-4:M:AdvP;02@4-8:S:NP;03@8-16:V:PhrasalVerb;04@16-23:O:NP
0297.01|01@0-10:M:FixedExpression
0297.02|01@0-5:M:AdvP;02@5-7:S:NP;03@7-14:V:PhrasalVerb;04@14-21:O:NP
0297.03|01@0-2:S:NP;02@2-12:V:VP;03@12-34:C:Inf
0298.01|01@0-7:V:VP;02@7-13:S:NP;03@13-17:V:VP;04@17-30:O:NP;05@30-37:V:VP
0299.01|01@0-3:S:NP
0299.02|01@0-11:O:NP;02@11-16:V:VP
0300.01|01@0-8:V:PhrasalVerb
0300.02|01@0-6:V:VP;02@6-11:S:NP;03@11-19:M:PP
0301.01|01@0-4:O:NP;02@4-7:V:VP;03@7-18:V:VP
0302.01|01@0-6:V:VP;02@6-15:S:NP
0303.01|01@0-4:V:VP;02@4-8:S:NP;03@8-11:V:VP;04@11-31:M:PP;05@31-56:C:Inf
0304.01|01@0-6:V:VP;02@6-9:S:NP;03@9-16:O:NP
0304.02|01@0-10:M:FixedExpression;02@10-12:S:NP;03@12-19:V:VP
0305.01|01@0-5:M:AdvP;02@5-9:M:AdvP;03@9-13:V:VP;04@13-17:S:NP;05@17-20:V:VP
0306.01|01@0-4:S:NP;02@4-16:V:VP;03@16-20:O:NP;04@20-25:O:NC
0306.02!|01@0-16:M:AdvP;02@16-31:S:NC;03@31-44:O:NC
0307.01|01@0-8:S:NP;02@8-12:O:NP;03@12-25:V:VP;04@25-29:S':NP
0307.02|01@0-3:S:NP;02@3-7:V:VP;03@7-24:C:NP;04@24-33:O:NP
0307.03|01@0-2:S:NP;02@2-7:V:VP;03@7-43:M:AdvC
0308.01|01@0-8:M:AdvP;02@8-18:S:NP;03@18-27:V:VP;04@27-30:O:NP
0308.02|01@0-2:S:NP;02@2-6:V:VP;03@6-11:C:NP;04@11-19:V:VP;05@19-30:O:NP;06@30-37:O:NP
0308.03|01@0-8:S:NP;02@8-26:V:VP;03@26-35:O:NP;04@35-44:M:PP
0308.04|01@0-5:O:NP;02@5-6:S:NP;03@6-9:V:VP;04@9-28:C:NP;05@28-33:V:VP;06@33-45:V:VP;07@45-64:M:AdvC
0309.01|01@0-8:S:NP;02@8-11:S:NP;03@11-15:V:VP;04@15-23:O:NP
0310.01|01@0-10:M:FixedExpression;02@10-16:S:NP;03@16-17:S:NP;04@17-20:V:VP;05@20-26:O:NP
0310.02|01@0-8:M:AdvP
0310.03|01@0-8:M:AdvP;02@8-10:S:NP;03@10-13:V:VP;04@13-17:C:NP;05@17-29:C:Inf
0311.01!|01@0-14:O:NP;02@14-18:V:VP;03@18-25:S:NP
0312.01|01@0-5:M:AdvP;02@5-9:S:NP
0312.02|01@0-2:S:NP;02@2-10:V:VP;03@10-27:O:NP;04@27-35:V:VP;05@35-40:O:NP;06@40-47:V:VP;07@47-70:O:NP;08@70-75:V:VP
0312.03|01@0-4:S:NP;02@4-7:V:VP;03@7-14:O:NP;04@14-43:M:PP
0313.01|01@0-19:S:NP
0313.02|01@0-4:S:NP;02@4-7:V:VP;03@7-12:C:NP
0314.01|01@0-9:S:NP
0314.02|01@0-9:S:NP
0314.03|01@0-2:S:NP;02@2-12:V:VP;03@12-20:O:NP;04@20-25:V:VP
0314.04|01@0-2:S:NP;02@2-20:V:PhrasalVerb;03@20-36:O:NP;04@36-61:M:AdvC
0314.05|01@0-11:S:NP;02@11-22:C:NP;03@22-39:M:AdvC
0314.06|01@0-4:S:NP;02@4-17:V:VP;03@17-23:O:NP;04@23-25:O:NP;05@25-33:V:VP
0315.01|01@0-2:S:NP;02@2-5:V:VP;03@5-27:C:NP;04@27-44:O:NP
0316.01|01@0-4:M:AdvP;02@4-8:S:NP;03@8-20:C:NP;04@20-27:M:FixedExpression
0316.02!|01@0-6:S:NP;02@6-19:V:PhrasalVerb;03@19-26:C:Inf;04@26-65:O:NC;05@65-80:C:NC;06@80-83:S':NP;07@83-86:V':VP;08@86-99:C':AdjP
0317.01|01@0-12:S:NP
0318.01|01@0-4:O:NP;02@4-7:V:VP;03@7-12:C:NP
0319.01|01@0-3:S:NP;02@3-9:V:VP;03@9-29:C:Inf;04@29-55:M:PP;05@55-67:O:NP
0320.01|01@0-4:M:AdvP;02@4-14:M:FixedExpression;03@14-18:S:NP
